iter	Passed	Remaining
0	138	138692
1	140	69929
2	141	46983
3	142	35532
4	143	28582
5	144	24009
6	146	20747
7	147	18255
8	148	16298
9	149	14755
10	150	13489
11	150	12411
12	151	11539
13	152	10750
14	154	10113
15	154	9502
16	155	8963
17	155	8482
18	156	8065
19	157	7693
20	158	7380
21	158	7063
22	159	6781
23	160	6516
24	160	6272
25	161	6051
26	162	5839
27	162	5646
28	163	5463
29	163	5295
30	164	5142
31	165	4994
32	165	4854
33	166	4722
34	166	4596
35	167	4476
36	167	4366
37	168	4261
38	169	4164
39	169	4068
40	170	3977
41	170	3890
42	171	3806
43	171	3726
44	171	3649
45	172	3575
46	172	3504
47	173	3437
48	173	3373
49	174	3311
50	174	3251
51	175	3194
52	175	3142
53	176	3092
54	177	3042
55	177	2994
56	178	2946
57	178	2902
58	179	2858
59	179	2815
60	180	2775
61	180	2736
62	181	2699
63	182	2662
64	182	2628
65	183	2594
66	183	2560
67	184	2527
68	184	2495
69	185	2464
70	186	2434
71	186	2405
72	187	2377
73	187	2349
74	188	2322
75	188	2295
76	189	2269
77	189	2244
78	190	2219
79	190	2195
80	191	2172
81	192	2150
82	192	2125
83	192	2103
84	193	2082
85	194	2062
86	194	2042
87	195	2024
88	195	2005
89	196	1987
90	197	1968
91	197	1951
92	198	1933
93	198	1915
94	199	1899
95	199	1882
96	200	1866
97	200	1849
98	201	1833
99	201	1817
100	202	1802
101	203	1787
102	203	1773
103	204	1759
104	204	1744
105	205	1730
106	205	1717
107	206	1703
108	206	1690
109	207	1677
110	207	1664
111	208	1651
112	208	1639
113	209	1626
114	209	1614
115	210	1602
116	210	1590
117	211	1578
118	211	1566
119	212	1555
120	212	1544
121	213	1533
122	213	1524
123	214	1514
124	214	1503
125	215	1493
126	215	1483
127	216	1473
128	216	1463
129	217	1453
130	217	1444
131	218	1434
132	218	1425
133	219	1416
134	219	1408
135	220	1399
136	220	1390
137	221	1382
138	221	1374
139	222	1365
140	222	1357
141	223	1348
142	223	1340
143	224	1332
144	224	1325
145	225	1316
146	225	1309
147	226	1301
148	226	1294
149	227	1287
150	227	1280
151	228	1273
152	228	1266
153	229	1260
154	229	1253
155	230	1246
156	230	1240
157	231	1233
158	232	1227
159	232	1221
160	233	1214
161	233	1208
162	234	1202
163	234	1196
164	235	1190
165	235	1184
166	236	1178
167	236	1172
168	237	1166
169	237	1160
170	238	1155
171	238	1150
172	239	1145
173	240	1140
174	240	1134
175	241	1129
176	241	1124
177	242	1118
178	242	1113
179	243	1108
180	243	1103
181	244	1098
182	244	1093
183	245	1089
184	246	1084
185	246	1079
186	247	1075
187	247	1070
188	248	1065
189	248	1061
190	249	1056
191	249	1051
192	250	1047
193	251	1043
194	251	1038
195	252	1033
196	252	1029
197	252	1024
198	253	1020
199	253	1015
200	254	1011
201	254	1007
202	255	1002
203	255	998
204	256	994
205	256	990
206	257	986
207	258	982
208	258	979
209	259	975
210	259	971
211	260	967
212	260	963
213	261	959
214	261	955
215	262	951
216	262	947
217	263	943
218	263	940
219	264	936
220	264	933
221	265	929
222	265	925
223	266	921
224	266	918
225	267	914
226	267	911
227	268	907
228	268	904
229	269	901
230	269	897
231	270	894
232	270	891
233	271	887
234	271	884
235	272	881
236	272	877
237	273	874
238	273	871
239	274	868
240	274	865
241	275	862
242	275	859
243	276	856
244	276	853
245	277	850
246	277	847
247	278	844
248	278	841
249	279	838
250	279	835
251	280	832
252	280	829
253	281	826
254	281	823
255	282	820
256	282	818
257	283	815
258	283	812
259	284	809
260	285	807
261	285	804
262	285	801
263	286	798
264	286	795
265	287	793
266	287	790
267	288	787
268	288	785
269	289	782
270	289	779
271	290	777
272	290	774
273	291	771
274	291	769
275	292	766
276	292	764
277	293	762
278	293	759
279	294	757
280	294	754
281	295	752
282	295	749
283	296	747
284	296	744
285	297	742
286	297	739
287	298	737
288	298	735
289	299	733
290	299	730
291	300	728
292	300	726
293	301	724
294	302	721
295	302	719
296	303	717
297	303	715
298	304	713
299	304	710
300	305	708
301	305	706
302	306	704
303	306	701
304	307	699
305	307	697
306	308	695
307	308	693
308	309	691
309	309	689
310	310	686
311	310	684
312	311	682
313	311	680
314	311	678
315	312	676
316	312	674
317	313	672
318	313	670
319	314	668
320	314	666
321	315	664
322	315	662
323	316	660
324	316	658
325	317	656
326	317	654
327	318	652
